distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,255.0,167.76145545098998,2.88784985409055,167.76145545098998,167.76145545098998,167.86890389637904,-0.11764201794882996
-17.75,255.0,167.66968991088004,2.944364434110051,167.66968991088004,167.66968991088004,167.9480982313657,-0.11594554245246044
-17.5,255.0,167.845921008214,3.1128457509527507,167.845921008214,167.845921008214,168.06128208839655,-0.1135209543797175
-17.25,255.0,168.02044947255317,3.2822984410353895,168.02044947255317,168.02044947255317,168.21032364525595,-0.11032823422877042
-17.0,255.0,168.19327530389776,3.4527225043581193,168.19327530389776,168.19327530389776,168.39176572452067,-0.10644144053911068
-16.75,255.0,168.45257046780972,3.6282818456114425,168.45257046780972,168.45257046780972,168.59624471808215,-0.10206115750298421
-16.5,255.0,168.8171168801509,3.8110708500731802,168.8171168801509,168.8171168801509,168.80954576396684,-0.09749189130794189
-16.25,255.0,169.18916921670072,3.996910978535813,169.18916921670072,169.18916921670072,169.0155297233405,-0.09307936937968152
-16.0,255.0,169.56872747745894,4.185802230999281,169.56872747745894,169.56872747745894,169.2004039201245,-0.08911905397570846
-15.75,255.0,169.73164787464546,4.2308733396308895,169.73164787464546,169.73164787464546,169.35692261573743,-0.08576616097047257
-15.5,255.0,169.6397138309462,4.108774129908261,169.6397138309462,169.6397138309462,169.48655271512337,-0.08298926679947854
-15.25,255.00000000000003,169.54826246603113,3.9874321081065807,169.54826246603113,169.54826246603113,169.59825818817842,-0.08059634819134574
-15.0,255.0,169.4572937799001,3.8668472742258544,169.4572937799001,169.4572937799001,169.7042602140398,-0.07832560698909083
-14.75,255.0,169.54296837420904,3.7718664799756136,169.54296837420904,169.54296837420904,169.81492207401405,-0.07595504432371054
-14.5,254.99999999999997,169.83578765334198,3.70593079671669,169.83578765334198,169.83578765334198,169.93582916958184,-0.07336501152650948
-14.25,255.0,170.13253366834041,3.6400611452262748,170.13253366834041,170.13253366834041,170.06920257219278,-0.0705079295214011
-14.0,255.0,170.43320641920437,3.5742575255043962,170.43320641920437,170.43320641920437,170.21938762869183,-0.0672907136900609
-13.75,255.0,170.53459827225106,3.57475408773522,170.53459827225106,170.53459827225106,170.39941775943706,-0.06343416630609781
-13.5,255.0,170.40032580973315,3.6523267670610005,170.40032580973315,170.40032580973315,170.6344082842249,-0.05840027509091479
-13.25,255.0,170.26753732562202,3.729278911291658,170.26753732562202,170.26753732562202,170.9585398663975,-0.05145683290091477
-13.0,255.0,170.13623281991764,3.805610520427247,170.13623281991764,170.13623281991764,171.40554738952576,-0.04188118194295497
-12.75,255.0,170.6661802881555,4.017998172449582,170.6661802881555,170.6661802881555,171.99633097394934,-0.02922560658139826
-12.5,255.00000000000003,171.97956282440617,4.39302687960722,171.97956282440617,171.97956282440617,172.72911376956944,-0.01352816992585762
-12.25,255.0,173.2974880145414,4.769815524304816,173.2974880145414,173.2974880145414,173.57633071704186,0.004620638214752152
-12.0,255.0,174.61995585856096,5.148364106542287,174.61995585856096,174.61995585856096,174.48900088261746,0.02417156407867257
-11.75,255.0,175.7992019265761,5.439732510259412,175.7992019265761,175.7992019265761,175.40606170365558,0.04381654514750649
-11.5,254.99999999999997,176.80453950285664,5.625853311599842,176.80453950285664,176.80453950285664,176.26495588063514,0.06221549913159976
-11.25,254.99999999999997,177.8115385047447,5.812553514269891,177.8115385047447,177.8115385047447,177.0108965159514,0.0781947987844553
-11.0,255.0,178.82019893224012,5.999833118269522,178.82019893224012,178.82019893224012,177.6039233429714,0.09089842816525319
-10.75,255.0,179.27738384866305,6.087846297466032,179.27738384866305,179.27738384866305,178.0235848962941,0.09988828257971752
-10.5,255.0,179.0663847585745,6.055560758833048,179.0663847585745,179.0663847585745,178.2709252548442,0.10518672794975849
-10.25,255.0,178.85269285074241,6.023116203826293,178.85269285074241,178.85269285074241,178.3673489325175,0.10725228486705764
-10.0,255.0,178.6363081251667,5.990512632445757,178.6363081251667,178.6363081251667,178.3506335468489,0.10689421326756876
-9.75,255.0,178.35842776270832,5.964931917439532,178.35842776270832,178.35842776270832,178.26918544596091,0.10514945832511478
-9.5,255.0,178.00782274321676,5.948195864838228,178.00782274321676,178.00782274321676,178.17583959469965,0.1031498336123222
-9.25,255.0,177.65665118364188,5.931661840917634,177.65665118364188,177.65665118364188,178.1220157495772,0.10199683656542463
-9.0,255.0,177.30491308398373,5.915329845677746,177.30491308398373,177.30491308398373,178.15244310252356,0.10264864150452273
-8.75,255.0,177.35271252765793,5.983340924676503,177.35271252765793,177.35271252765793,178.3007398869411,0.10582540738048027
-8.5,255.0,177.88784524622176,6.15421483205977,177.88784524622176,177.88784524622176,178.58649237908818,0.1119467050848647
-8.25,255.0,178.41699036820037,6.324228734285366,178.41699036820037,178.41699036820037,179.01433865548864,0.12111188999674823
-8.0,255.0,178.9401478935937,6.493382631353252,178.9401478935937,178.9401478935937,179.57507173319428,0.13312373309754325
-7.75,255.0,179.70234159112056,6.681806223495793,179.70234159112056,179.70234159112056,180.2483280551078,0.14754601283629815
-7.5,255.00000000000003,180.76507941709144,6.894659709626997,180.76507941709144,180.76507941709144,181.00645945018385,0.16378645901204697
-7.25,255.0,181.82508273873572,7.1070685217293565,181.82508273873572,181.82508273873572,181.81945953066338,0.181202284466133
-7.0,255.0,182.88235155605383,7.319032659802965,182.88235155605383,182.88235155605383,182.66073411192366,0.19922379715472532
-6.75,255.0,183.76959030273332,7.478825946335431,183.76959030273332,183.76959030273332,183.51274792026115,0.21747536210134222
-6.5,255.0,184.44823713308358,7.573201714761364,184.44823713308358,184.44823713308358,184.3710342653902,0.23586129530761737
-6.25,255.0,185.12953644940364,7.666964640370308,185.12953644940364,185.12953644940364,185.24538242328282,0.25459129948544984
-6.0,255.0,185.81348825169334,7.760114723162237,185.81348825169334,185.81348825169334,186.15798695254054,0.2741408193093425
-5.75,255.0,186.64728886576805,7.911960559408405,186.64728886576805,186.64728886576805,187.1392663966314,0.29516147100459084
-5.5,255.0,187.66203889574723,8.137093460495176,187.66203889574723,187.66203889574723,188.22226243468657,0.31836106276245485
-5.25,255.0,188.67084165182388,8.360864749440285,188.67084165182388,188.67084165182388,189.4361997773812,0.3443656369072654
-5.0,255.0,189.67369713399776,8.583274426243698,189.67369713399776,189.67369713399776,190.79963944681063,0.37357280166665147
-4.75,254.98029258074422,191.19302770153928,8.94001628263422,191.19302770153928,191.19302770153928,192.3143710968923,0.40602089442949896
-4.5,254.9356289718589,193.3750808592923,9.46933868758181,193.3750808592923,193.3750808592923,193.96190893806815,0.4413139185753224
-4.25,254.89130653961865,195.55202316456248,9.997881050219926,195.55202316456248,195.55202316456248,195.70421959968502,0.47863713550737375
-4.0,254.84732528402358,197.72385461734945,10.525643370548476,197.72385461734945,197.72385461734945,197.48889500074628,0.5168678762211402
-3.75,254.78683894559026,199.7326968144071,11.013655342271955,199.7326968144071,199.7326968144071,199.25727493999585,0.5547495408088147
-3.5,254.70481227420197,201.5334303511126,11.450865678515157,201.5334303511126,201.5334303511126,200.95342998269047,0.5910840269618959
-3.25,254.62295383486563,203.330313833201,11.887726752305953,203.330313833201,203.330313833201,202.5324415863683,0.6249091041542739
-3.0,254.54126362758132,205.12334726067286,12.32423856364451,205.12334726067286,205.12334726067286,203.9671581838864,0.6556431402735788
-2.75,254.4807543129217,206.382683148624,12.619699378130235,206.382683148624,206.382683148624,205.2525058005483,0.6831774422707027
-2.5,254.44784390939742,206.9596379684707,12.733402010307447,206.9596379684707,206.9596379684707,206.40585135294867,0.7078840386304519
-2.25,254.41513220575285,207.55031656633645,12.849714871733322,207.55031656633645,207.55031656633645,207.46217670019533,0.7305122994536535
-2.0,254.38261920198806,208.1547189422211,12.96863796240783,208.1547189422211,208.1547189422211,208.46451565637955,0.7519840812232677
-1.75,254.31262418911888,209.00414950764815,13.095986630293064,209.00414950764815,209.00414950764815,209.4524673263327,0.77314766318851
-1.5,254.19289469525268,210.1697714123155,13.233307522798995,210.1697714123155,210.1697714123155,210.45271429945234,0.7945746311717783
-1.25,254.07295595961602,211.34596417950746,13.372820568750207,211.34596417950746,211.34596417950746,211.47445741482557,0.8164620825798502
-1.0,253.95280798220892,212.5327278092237,13.514525768146662,212.5327278092237,212.5327278092237,212.5102192650157,0.8386498388027932
-0.75,253.7010730904415,213.68863577429346,13.757497951401014,213.68863577429346,213.68863577429346,213.54035600473762,0.8607170957239195
-0.5,253.27453948293123,214.79058682606754,14.132231850450566,214.79058682606754,214.79058682606754,214.53904928963186,0.882110781099236
-0.25,252.84810410359052,215.8899446386375,14.505997918332294,215.8899446386375,215.8899446386375,215.48011233489726,0.9022699300724636
0.0,252.42176695241906,216.98670921200366,14.878796155046354,216.98670921200366,216.98670921200366,216.34181830276856,0.9207291173339694
0.25,252.01092610704194,217.80053987834182,15.205024352244834,217.80053987834182,217.80053987834182,217.11026495624395,0.9371905336474959
0.5,251.62106284992387,218.23692525626234,15.469317776095554,218.23692525626234,218.23692525626234,217.7806990177168,0.9515523558335386
0.75,251.2315583231619,218.6733794693265,15.733089242320208,218.6733794693265,218.6733794693265,218.35634561153736,0.9638836714655182
1.0,250.8424125267561,219.1099025175343,15.996338750918742,219.1099025175343,219.1099025175343,218.84494605034854,0.9743503124455613
1.25,250.57058529884634,219.49880700451,16.138819184918585,219.49880700451,219.49880700451,219.25414081534763,0.9831159506970931
1.5,250.45843530551403,219.82300853000302,16.118394028107637,219.82300853000302,219.82300853000302,219.58708798589336,0.9902482375773555
1.75,250.34743046904293,220.14721982002652,16.098622212121267,220.14721982002652,220.14721982002652,219.8394518031169,0.995654293858555
