distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,247.0,179.0,-2.0363175144815227,179.0,179.0,180.12268501290345,0.038553346882824684
-17.75,247.0,180.0,-1.9594297080590128,180.0,180.0,180.6258750956217,0.05268598592577636
-17.5,247.0,181.0,-1.882541901636503,181.0,181.0,181.21008307544412,0.06909410045029359
-17.25,247.0,182.0,-1.8056540952139932,182.0,182.0,181.8382780983818,0.08673763877242742
-17.0,247.0,183.0,-1.7287662887914834,183.0,183.0,182.4669146728885,0.1043935785491165
-16.75,247.0,183.5,-1.6178579163042273,183.5,183.5,183.0544507709297,0.12089516688222735
-16.5,247.0,184.0,-1.506949543816971,184.0,184.0,183.56738773192245,0.13530155756929957
-16.25,247.0,184.5,-1.396041171329715,184.5,184.5,183.9823236413776,0.1469554824690319
-16.0,247.0,185.0,-1.2851327988424588,185.0,185.0,184.284714518212,0.15544845810379865
-15.75,247.0,185.0,-1.2851327988424588,185.0,185.0,184.4659080890183,0.16053747599396798
-15.5,247.0,185.0,-1.2851327988424588,185.0,185.0,184.51990944959095,0.16205416275511933
-15.25,247.0,185.0,-1.2851327988424588,185.0,185.0,184.44055739275151,0.15982547420352974
-15.0,247.0,185.0,-1.2851327988424588,185.0,185.0,184.21949841796987,0.15361679321976082
-14.75,247.0,184.5,-1.2521490494175336,184.5,184.5,183.84526941396888,0.14310616589503516
-14.5,247.0,184.0,-1.2191652999926084,184.0,184.0,183.3037279742779,0.12789638741011558
-14.25,247.0,183.5,-1.1861815505676832,183.5,183.5,182.580089645209,0.10757222035354445
-14.0,247.0,183.0,-1.153197801142758,183.0,183.0,181.66211124859169,0.08178980179207951
-13.75,247.25,181.5,-1.6351283741136564,181.5,181.5,180.54380314444438,0.05038090619273806
-13.5,247.5,180.0,-2.117058947084555,180.0,180.0,179.2286798009977,0.013444241206240786
-13.25,247.75,178.5,-2.598989520055453,178.5,178.5,177.73221997565685,-0.028585455483275814
-13.0,248.0,177.0,-3.0809200930263514,177.0,177.0,176.0833879548984,-0.07489469048639781
-12.75,248.5,174.75,-3.941263209778459,174.75,174.75,174.32498186411286,-0.12428143204885937
-12.5,249.0,172.5,-4.801606326530567,172.5,172.5,172.51213447037503,-0.17519721663119983
-12.25,249.5,170.25,-5.661949443282674,170.25,170.25,170.708671407437,-0.2258494321083289
-12.0,250.0,168.0,-6.522292560034781,168.0,168.0,168.98182814534374,-0.27434969740585147
-11.75,250.0,166.5,-6.843827321389204,166.5,166.5,167.3965539821403,-0.31887384106870736
-11.5,250.0,165.0,-7.165362082743626,165.0,165.0,166.01083567462254,-0.35779324216176084
-11.25,250.0,163.5,-7.486896844098049,163.5,163.5,164.8720380790426,-0.38977760734314754
-11.0,250.0,162.0,-7.808431605452471,162.0,162.0,164.01384211005026,-0.4138809716073355
-10.75,250.0,162.0,-7.808431605452471,162.0,162.0,163.4530251842117,-0.42963212301961834
-10.5,250.0,162.0,-7.808431605452471,162.0,162.0,163.18582425556167,-0.43713675080590714
-10.25,250.0,162.0,-7.808431605452471,162.0,162.0,163.18407715449587,-0.43718582003358575
