distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,254.0,173.0,-3.5389844701974593,173.0,173.0,173.06284289799802,-1.4362406809557404
-17.75,253.75,173.0,-3.53246804078515,173.0,173.0,173.12617854306222,-1.4305329358783985
-17.5,253.5,173.0,-3.5259516113728404,173.0,173.0,173.234414345557,-1.4207788334569962
-17.25,253.25,173.0,-3.519435181960531,173.0,173.0,173.40553437966815,-1.405357666887327
-17.0,253.0,173.0,-3.512918752548222,173.0,173.0,173.65798005569286,-1.3826075146915813
-16.75,252.5,173.5,-3.391246821661559,173.5,173.5,174.00890187701998,-1.3509827906332499
-16.5,252.0,174.0,-3.2695748907748956,174.0,174.0,174.47361817436294,-1.3091030220474686
-16.25,251.5,174.5,-3.1479029598882327,174.5,174.5,175.06616029885865,-1.2557037175834513
-16.0,251.0,175.0,-3.0262310290015693,175.0,175.0,175.80005701980855,-1.1895656780634756
-15.75,250.0,176.0,-3.0662137313880455,176.0,176.0,176.68742905273413,-1.1095965967101882
-15.5,249.0,177.0,-3.106196433774522,177.0,177.0,177.73491678787724,-1.0151980481870178
-15.25,248.0,178.0,-3.146179136160998,178.0,178.0,178.93558801251515,-0.9069947565810573
-15.0,247.0,179.0,-3.1861618385474744,179.0,179.0,180.25879547597492,-0.7877486215143179
-14.75,245.5,181.25,-2.9920308838177343,181.25,181.25,181.64223441455007,-0.6630744860657648
-14.5,244.0,183.5,-2.7978999290879933,183.5,183.5,182.99078869622917,-0.5415441210559809
-14.25,242.5,185.75,-2.6037689743582533,185.75,185.75,184.1850350080751,-0.43391983617401797
-14.0,241.0,188.0,-2.4096380196285128,188.0,188.0,185.09780302418835,-0.3516620941798418
-13.75,240.5,188.0,-2.5336162957441815,188.0,188.0,185.61439213288412,-0.30510759964239825
-13.5,240.0,188.0,-2.6575945718598506,188.0,188.0,185.65205946536105,-0.30171305725945
-13.25,239.5,188.0,-2.7815728479755193,188.0,188.0,185.17643106215593,-0.3445762139271724
-13.0,239.0,188.0,-2.905551124091188,188.0,188.0,184.21304145722706,-0.43139592294760376
-12.75,240.75,184.75,-3.331216952618385,184.75,184.75,182.85054181021994,-0.5541830303529549
-12.5,242.5,181.5,-3.756882781145582,181.5,181.5,181.2305534893008,-0.7001747598870117
-12.25,244.25,178.25,-4.182548609672779,178.25,178.25,179.52235553619803,-0.8541158533749673
-12.0,246.0,175.0,-4.608214438199976,175.0,175.0,177.88789077147908,-1.00141218556606
