distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,251.75,166.75,-5.1849534253888,166.75,166.75,167.6907471971673,-0.30604782098200467
-17.75,251.5,167.5,-5.0898317355577145,167.5,167.5,168.15113544942506,-0.2893420350987694
-17.5,251.25,168.25,-4.99471004572663,168.25,168.25,168.71436758569251,-0.26890442526641983
-17.25,251.0,169.0,-4.8995883558955455,169.0,169.0,169.35538416873004,-0.24564430572315973
-17.0,250.0,170.0,-4.800025588880194,170.0,170.0,170.03453116843434,-0.22100057447097826
-16.75,249.0,171.0,-4.700462821864843,171.0,171.0,170.7033269519687,-0.19673245054612978
-16.5,248.0,172.0,-4.600900054849491,172.0,172.0,171.31275760815203,-0.17461846739614686
-16.25,247.0,173.0,-4.50133728783414,173.0,173.0,171.82213254008226,-0.1561351361960495
-16.0,247.5,173.0,-4.371496864729388,173.0,173.0,172.20601713164683,-0.14220538503689006
-15.75,248.0,173.0,-4.241656441624636,173.0,173.0,172.4572232101573,-0.1330900461037548
-15.5,248.5,173.0,-4.111816018519884,173.0,173.0,172.58530038791153,-0.12844259930727753
-15.25,249.0,173.0,-3.9819755954151326,173.0,173.0,172.61176033602877,-0.12748246571229482
-15.0,249.25,172.75,-3.9710127558507113,172.75,172.75,172.56406823122714,-0.12921303569801793
-14.75,249.5,172.5,-3.96004991628629,172.5,172.5,172.47006896492104,-0.1326239212025675
-14.5,249.75,172.25,-3.949087076721869,172.25,172.25,172.35344429647492,-0.13685579881936086
-14.25,250.0,172.0,-3.9381242371574476,172.0,172.0,172.23037481006855,-0.14132153502914013
-14.0,250.0,172.0,-3.9381242371574476,172.0,172.0,172.10759558411638,-0.14577673876122405
-13.75,250.0,172.0,-3.9381242371574476,172.0,172.0,171.98220343529607,-0.1503267557943652
-13.5,250.0,172.0,-3.9381242371574476,172.0,172.0,171.84357021513546,-0.15535724230428158
-13.25,250.0,172.0,-3.9381242371574476,172.0,172.0,171.67694297776382,-0.16140352809935699
-13.0,250.0,171.75,-4.064178824931098,171.75,171.75,171.46804979809724,-0.16898348852376896
-12.75,250.0,171.5,-4.190233412704747,171.5,171.5,171.20820938714098,-0.17841213542767997
-12.5,250.0,171.25,-4.316288000478396,171.25,171.25,170.89922916958955,-0.1896238840577902
-12.25,250.0,171.0,-4.442342588252046,171.0,171.0,170.55722368281204,-0.20203399748917708
-12.0,250.0,170.25,-4.532268248822607,170.25,170.25,170.21325547679015,-0.21451533073836912
-11.75,250.0,169.5,-4.622193909393168,169.5,169.5,169.9085303154161,-0.22557267912678783
-11.5,250.0,168.75,-4.71211956996373,168.75,168.75,169.68342312468445,-0.23374098600841975
-11.25,250.0,168.0,-4.802045230534291,168.0,168.0,169.56308812784732,-0.23810749771144943
-11.0,250.5,168.75,-4.581113417156072,168.75,168.75,169.5456384429285,-0.238740682199877
-10.75,251.0,169.5,-4.360181603777852,169.5,169.5,169.59919245530455,-0.23679740528185175
-10.5,251.5,170.25,-4.139249790399632,170.25,170.25,169.67049766799346,-0.23421000299758887
-10.25,252.0,171.0,-3.9183179770214127,171.0,171.0,169.70187240087904,-0.2330715300518527
-10.0,252.0,170.5,-4.0259211722256385,170.5,170.5,169.6490572864517,-0.234987995097811
-9.75,252.0,170.0,-4.133524367429864,170.0,170.0,169.4925265467308,-0.24066791635795995
-9.5,252.0,169.5,-4.241127562634089,169.5,169.5,169.23914074366047,-0.2498623494287122
-9.25,252.0,169.0,-4.3487307578383145,169.0,169.0,168.9160195293941,-0.26158722249702565
-9.0,251.75,168.5,-4.593920722754927,168.5,168.5,168.56134694495145,-0.274456978024661
-8.75,251.5,168.0,-4.839110687671538,168.0,168.0,168.2164307927645,-0.28697270873205233
-8.5,251.25,167.5,-5.08430065258815,167.5,167.5,167.92077222014927,-0.2977010641677762
-8.25,251.0,167.0,-5.329490617504762,167.0,167.0,167.70974800988506,-0.3053583518061216
-8.0,250.75,167.0,-5.466938306342775,167.0,167.0,167.61328441108913,-0.3088586588167987
-7.75,250.5,167.0,-5.604385995180788,167.0,167.0,167.65408186154238,-0.30737827032184556
-7.5,250.25,167.0,-5.7418336840188005,167.0,167.0,167.84470941463087,-0.3004611018890628
-7.25,250.0,167.0,-5.8792813728568145,167.0,167.0,168.18394577607208,-0.2881514697682333
-7.0,250.0,168.0,-5.520046676705622,168.0,168.0,168.65427844392957,-0.2710848378448822
-6.75,250.0,169.0,-5.16081198055443,169.0,169.0,169.22252919263346,-0.25046512113994673
-6.5,250.0,170.0,-4.801577284403239,170.0,170.0,169.84479394975966,-0.22788543596280703
-6.25,250.0,171.0,-4.442342588252046,171.0,171.0,170.47482534703553,-0.2050239281571875
-6.0,250.25,171.5,-4.196762489907191,171.5,171.5,171.0733201097108,-0.18330676811138108
-5.75,250.5,172.0,-3.9511823915623356,172.0,172.0,171.61567629597113,-0.1636266692476935
-5.5,250.75,172.5,-3.7056022932174804,172.5,172.5,172.09705464628712,-0.14615923038545767
-5.25,251.0,173.0,-3.460022194872625,173.0,173.0,172.53450397537475,-0.1302858131323794
-5.0,251.25,173.0,-3.322312662951618,173.0,173.0,172.96584192117874,-0.11463415536183827
-4.75,251.5,173.0,-3.1846031310306113,173.0,173.0,173.44449742100113,-0.09726551866737068
