distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,255.0,174.0,-3.637576650939778,174.0,174.0,174.38985525730772,-0.7590124749498943
-17.75,254.5,174.25,-3.498347764901419,174.25,174.25,174.62486596033978,-0.7436486651696284
-17.5,254.0,174.5,-3.35911887886306,174.5,174.5,174.95607092711043,-0.7219961615087654
-17.25,253.5,174.75,-3.219889992824701,174.75,174.75,175.4023747572994,-0.6928190769642706
-17.0,253.0,175.0,-3.080661106786342,175.0,175.0,175.97866387568496,-0.655144212462015
-16.75,252.5,176.0,-2.849180145311797,176.0,176.0,176.6927679343627,-0.608459704993672
-16.5,252.0,177.0,-2.617699183837252,177.0,177.0,177.54300425331428,-0.5528755596585404
-16.25,251.5,178.0,-2.3862182223627073,178.0,178.0,178.51644925139422,-0.48923665475295725
-16.0,251.0,179.0,-2.154737260888162,179.0,179.0,179.58801755096255,-0.4191829452464381
-15.75,250.25,180.5,-1.9454461469726876,180.5,180.5,180.7202907422102,-0.3451606573030223
-15.5,249.5,182.0,-1.7361550330572129,182.0,182.0,181.86459112165898,-0.2703520926950582
-15.25,248.75,183.5,-1.5268639191417384,183.5,183.5,182.96337288909984,-0.19851930445526936
-15.0,248.0,185.0,-1.3175728052262636,185.0,185.0,183.95374682182884,-0.13377367152251535
-14.75,246.5,185.75,-1.4570498084243573,185.75,185.75,184.77140594376922,-0.08031925837233003
-14.5,245.0,186.5,-1.5965268116224507,186.5,186.5,185.35412942321358,-0.04222374792463606
-14.25,243.5,187.25,-1.7360038148205443,187.25,187.25,185.645184740121,-0.023196025072835712
-14.0,242.0,188.0,-1.8754808180186378,188.0,188.0,185.59709370005677,-0.0263399737617653
-13.75,241.5,187.0,-2.2256470168634666,187.0,187.0,185.17645756453874,-0.053839034397840504
-13.5,241.0,186.0,-2.575813215708295,186.0,186.0,184.3700522996144,-0.10655772736057029
-13.25,240.5,185.0,-2.9259794145531233,185.0,185.0,183.19209309378286,-0.1835667356049309
