distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,250.0,168.0,-4.802045230534291,168.0,168.0,168.05394682269267,-0.09267050891127096
-17.75,250.0,168.0,-4.802045230534291,168.0,168.0,168.09340570224992,-0.09131420241093263
-17.5,250.0,168.0,-4.802045230534291,168.0,168.0,168.14650198777667,-0.08948914204399423
-17.25,250.0,168.0,-4.802045230534291,168.0,168.0,168.20765510263124,-0.08738714705265595
-17.0,250.25,168.25,-4.826431011874605,168.25,168.25,168.2648159798725,-0.08542237587219506
-16.75,250.5,168.5,-4.850816793214918,168.5,168.5,168.30155276002802,-0.08415963515868564
-16.5,250.75,168.75,-4.875202574555232,168.75,168.75,168.30265861265644,-0.08412162406650105
-16.25,251.0,169.0,-4.8995883558955455,169.0,169.0,168.26163277250134,-0.0855317911647193
-16.0,250.75,168.5,-5.00093818592004,168.5,168.5,168.1863812294564,-0.08811838658094846
-15.75,250.5,168.0,-5.102288015944534,168.0,168.0,168.09925478466744,-0.09111315391201683
-15.5,250.25,167.5,-5.203637845969028,167.5,167.5,168.03000806709272,-0.09349334752692648
-15.25,250.0,167.0,-5.304987675993522,167.0,167.0,168.00411882363971,-0.09438322959094207
-15.0,250.25,167.5,-5.203637845969028,167.5,167.5,168.03205582882427,-0.09342296051698591
-14.75,250.5,168.0,-5.102288015944534,168.0,168.0,168.10516619644778,-0.09090996298734232
-14.5,250.75,168.5,-5.00093818592004,168.5,168.5,168.20052713943187,-0.08763215408098385
-14.25,251.0,169.0,-4.8995883558955455,169.0,169.0,168.29226315408567,-0.08447894358980562
-14.0,251.25,168.75,-4.887592181277656,168.75,168.75,168.3634190547396,-0.08203312628132593
-13.75,251.5,168.5,-4.875596006659766,168.5,168.5,168.4125680388933,-0.08034374514732893
-13.5,251.75,168.25,-4.863599832041876,168.25,168.25,168.45257899212524,-0.07896846240838423
-13.25,252.0,168.0,-4.851603657423986,168.0,168.0,168.5032460129419,-0.07722690232210011
-13.0,251.75,168.25,-4.863599832041876,168.25,168.25,168.5822060854622,-0.07451283489727502
-12.75,251.5,168.5,-4.875596006659766,168.5,168.5,168.69844723997196,-0.0705173176591424
-12.5,251.25,168.75,-4.887592181277656,168.75,168.75,168.8503193220089,-0.06529707079968207
-12.25,251.0,169.0,-4.8995883558955455,169.0,169.0,169.0274661119255,-0.05920806509617977
-12.0,250.75,169.25,-4.911149316297353,169.25,169.25,169.214526637806,-0.05277829795491409
-11.75,250.5,169.5,-4.92271027669916,169.5,169.5,169.3947091448265,-0.04658494659113446
-11.5,250.25,169.75,-4.934271237100968,169.75,169.75,169.55238402268355,-0.04116524222605593
-11.25,250.0,170.0,-4.945832197502775,170.0,170.0,169.67456977551976,-0.036965393353510165
-11.0,250.0,170.0,-4.945832197502775,170.0,170.0,169.7516962727842,-0.034314350780538044
-10.75,250.0,170.0,-4.945832197502775,170.0,170.0,169.77790711290658,-0.033413414584776646
-10.5,250.0,170.0,-4.945832197502775,170.0,170.0,169.75100363291682,-0.034338158652556815
-10.25,250.0,170.0,-4.945832197502775,170.0,170.0,169.67219657327564,-0.03704696661829687
-10.0,250.25,169.75,-4.934271237100968,169.75,169.75,169.5455815561287,-0.041399061070133886
-9.75,250.5,169.5,-4.92271027669916,169.5,169.5,169.377161897574,-0.04718809208787994
-9.5,250.75,169.25,-4.911149316297353,169.25,169.25,169.1735076461214,-0.05418822965300981
-9.25,251.0,169.0,-4.8995883558955455,169.0,169.0,168.9403213716608,-0.062203461291345456
-9.0,251.5,168.75,-4.89369506480336,168.75,168.75,168.68174330439024,-0.07109147629377467
-8.75,252.0,168.5,-4.887801773711176,168.5,168.5,168.40105686214687,-0.0807394148678815
-8.5,252.5,168.25,-4.881908482618991,168.25,168.25,168.10313332719647,-0.09097983810317999
-8.25,253.0,168.0,-4.876015191526806,168.0,168.0,167.7978823692717,-0.10147212432907517
-8.0,253.5,167.5,-4.994606070836266,167.5,167.5,167.50327149635572,-0.11159868257121783
-7.75,254.0,167.0,-5.113196950145726,167.0,167.0,167.24623716911776,-0.12043363512827292
-7.5,254.5,166.5,-5.231787829455186,166.5,166.5,167.06082876978863,-0.12680661429161988
-7.25,255.0,166.0,-5.350378708764647,166.0,166.0,166.98420134758786,-0.12944050232902
-7.0,254.5,166.25,-5.213258787291188,166.25,166.25,167.05205901874623,-0.12710805392899951
-6.75,254.0,166.5,-5.076138865817731,166.5,166.5,167.29521516357522,-0.11875013136431553
-6.5,253.5,166.75,-4.939018944344273,166.75,166.75,167.7377052904892,-0.10354057036808706
-6.25,253.0,167.0,-4.801899022870815,167.0,167.0,168.39598524491814,-0.08091373982317024
-6.0,252.5,168.25,-4.44839512671108,168.25,168.25,169.27817653740235,-0.0505904818400863
-5.75,252.0,169.5,-4.094891230551346,169.5,169.5,170.38258479531908,-0.012629036506440792
-5.5,251.5,170.75,-3.7413873343916104,170.75,170.75,171.69533653934107,0.032493727842805936
-5.25,251.0,172.0,-3.3878834382318757,172.0,172.0,173.18790111314559,0.08379713676723285
-5.0,250.75,174.25,-2.818389258799847,174.25,174.25,174.81627699728475,0.13976874116738403
-4.75,250.5,176.5,-2.2488950793678186,176.5,176.5,176.5240196232986,0.1984683912982594
-4.5,250.25,178.75,-1.6794008999357901,178.75,178.75,178.25001680330627,0.2577954989373141
-4.25,250.0,181.0,-1.1099067205037616,181.0,181.0,179.9393668176799,0.31586294615199584
-4.0,250.0,182.25,-0.9066655341548185,182.25,182.25,181.55327525487502,0.37133726597251154
-3.75,250.0,183.5,-0.7034243478058755,183.5,183.5,183.0737977786057,0.4236016638972967
-3.5,250.0,184.75,-0.5001831614569324,184.75,184.75,184.50171831415662,0.47268308552063376
-3.25,250.0,186.0,-0.29694197510798936,186.0,186.0,185.84922129432258,0.5190003421617473
-3.0,249.5,187.25,0.06988740603318389,187.25,187.25,187.13126733764372,0.5630676700179843
-2.75,249.0,188.5,0.43671678717435714,188.5,188.5,188.3592406741443,0.6052763753138621
-2.5,248.5,189.75,0.8035461683155304,189.75,189.75,189.5384812926039,0.6458100076477158
-2.25,248.0,191.0,1.1703755494567036,191.0,191.0,190.66903230361683,0.6846700488451809
-2.0,247.25,192.0,1.4223467351139747,192.0,192.0,191.74794312867658,0.7217550796857164
-1.75,246.5,193.0,1.6743179207712455,193.0,193.0,192.77149706622333,0.7569373472644764
-1.5,245.75,194.0,1.9262891064285164,194.0,194.0,193.73653762030003,0.7901083544311899
-1.25,245.0,195.0,2.1782602920857874,195.0,195.0,194.64077512427662,0.8211893992620113
-1.0,245.0,195.75,2.420354250279755,195.75,195.75,195.48248670817975,0.850121262139701
-0.75,245.0,196.5,2.662448208473722,196.5,196.5,196.25992356011406,0.8768438317542528
-0.5,245.0,197.25,2.9045421666676896,197.25,197.25,196.9706194398916,0.9012723368796253
-0.25,245.0,198.0,3.146636124861657,198.0,198.0,197.610935810107,0.9232817113205786
0.0,245.25,198.5,3.2503919248776656,198.5,198.5,198.17601921100834,0.9427051287737679
0.25,245.5,199.0,3.3541477248936746,199.0,199.0,198.66054411672093,0.9593595367693164
0.5,245.75,199.5,3.4579035249096837,199.5,199.5,199.06019126925955,0.9730964709375376
0.75,246.0,200.0,3.5616593249256923,200.0,200.0,199.37344139330614,0.9838637097502783
1.0,246.25,200.0,3.551849254019551,200.0,200.0,199.60267681939717,0.99174314023598
1.25,246.5,200.0,3.54203918311341,200.0,200.0,199.75363817215657,0.9969320829111089
1.5,246.75,200.0,3.5322291122072693,200.0,200.0,199.83271654320419,0.9996502165705407
1.75,247.0,200.0,3.522419041301128,200.0,200.0,199.84289275500493,1.0
2.0,247.5,200.0,3.6475811575160253,200.0,200.0,199.78002564291603,0.9978390903710296
