distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,250.0,169.0,-5.448585406982898,169.0,169.0,168.9725338880745,-0.0007558916964015179
-17.75,250.0,169.0,-5.448585406982898,169.0,169.0,168.94837643033745,-0.0014207263027393603
-17.5,250.0,169.0,-5.448585406982898,169.0,169.0,168.9127550269819,-0.0024010588333746256
-17.25,250.0,169.0,-5.448585406982898,169.0,169.0,168.86838117340895,-0.003622266536311234
-17.0,250.0,169.0,-5.448585406982898,169.0,169.0,168.82534848119718,-0.0048065642922119345
-16.75,250.0,168.75,-5.5740877496157495,168.75,168.75,168.80273577592982,-0.005428885944113121
-16.5,250.0,168.5,-5.699590092248602,168.5,168.5,168.8269474367269,-0.0047625596216161895
-16.25,250.0,168.25,-5.825092434881454,168.25,168.25,168.92588135848942,-0.0020398105788832265
-16.0,250.0,168.0,-5.950594777514306,168.0,168.0,169.12031181065933,0.0033110874558118695
-15.75,250.25,168.75,-5.723579963134926,168.75,168.75,169.4156760083389,0.011439771451782335
-15.5,250.5,169.5,-5.496565148755544,169.5,169.5,169.79757736591367,0.021950034637862104
-15.25,250.75,170.25,-5.269550334376163,170.25,170.25,170.23273232442696,0.033925884029303036
-15.0,251.0,171.0,-5.0425355199967825,171.0,171.0,170.67456977551973,0.04608564152778839
-14.75,251.25,171.5,-4.797489145615979,171.5,171.5,171.07143719372633,0.05700778394126385
-14.5,251.5,172.0,-4.552442771235176,172.0,172.0,171.37553752672227,0.06537689410902767
-14.25,251.75,172.5,-4.307396396854374,172.5,172.5,171.55179052471576,0.07022753252521718
-14.0,252.0,173.0,-4.062350022473571,173.0,173.0,171.58567941385942,0.07116018473217901
-13.75,251.75,172.25,-4.28962514240884,172.25,172.25,171.48821519463957,0.06847788320350241
-13.5,251.5,171.5,-4.516900262344109,171.5,171.5,171.2957660069734,0.06318151132055443
-13.25,251.25,170.75,-4.744175382279378,170.75,170.75,171.06357209743675,0.056791329533999436
-13.0,251.0,170.0,-4.971450502214648,170.0,170.0,170.8545602145183,0.05103913762653591
-12.75,250.75,170.0,-5.108391559437445,170.0,170.0,170.7269038370332,0.04752592119475824
-12.5,250.5,170.0,-5.245332616660242,170.0,170.0,170.72365492858228,0.047436508360241034
-12.25,250.25,170.0,-5.38227367388304,170.0,170.0,170.8660045554467,0.051354096012419824
-12.0,250.0,170.0,-5.519214731105837,170.0,170.0,171.15015112482894,0.059174060954661004
-11.75,250.0,171.0,-5.302523422641148,171.0,171.0,171.54788272478305,0.07011998641427351
-11.5,250.0,172.0,-5.085832114176458,172.0,172.0,172.0115111767464,0.08287945153279053
-11.25,250.0,173.0,-4.869140805711769,173.0,173.0,172.48323869049506,0.09586180999597711
-11.0,250.0,174.0,-4.65244949724708,174.0,174.0,172.9071543012662,0.10752834259535383
-10.75,249.5,174.0,-4.6386880022425,174.0,174.0,173.2400387496558,0.1166896170808546
-10.5,249.0,174.0,-4.6249265072379195,174.0,174.0,173.45705807604864,0.1226621809160271
-10.25,248.5,174.0,-4.611165012233339,174.0,174.0,173.55099725021446,0.1252474700866017
-10.0,248.0,174.0,-4.597403517228759,174.0,174.0,173.52695533950111,0.12458581543656798
-9.75,248.25,173.75,-4.443546536775353,173.75,173.75,173.39619600631158,0.12098720291896474
-9.5,248.5,173.5,-4.289689556321946,173.5,173.5,173.1727409164588,0.11483752118037052
-9.25,248.75,173.25,-4.135832575868539,173.25,173.25,172.8739209311333,0.1066137308514337
-9.0,249.0,173.0,-3.9819755954151326,173.0,173.0,172.5234290315689,0.09696788373425035
