distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,250.0,169.0,-4.874329330759264,169.0,169.0,169.0,0.0
-17.75,250.0,169.0,-4.874329330759264,169.0,169.0,169.0,0.0
-17.5,250.0,169.0,-4.874329330759264,169.0,169.0,169.0,0.0
-17.25,250.0,169.0,-4.874329330759264,169.0,169.0,169.0,0.0
-17.0,250.0,169.0,-4.874329330759264,169.0,169.0,169.0000111528357,3.5922760666250536e-07
-16.75,250.0,169.0,-4.874329330759264,169.0,169.0,169.00006232936286,2.007599542803237e-06
-16.5,250.0,169.0,-4.874329330759264,169.0,169.0,169.0002420327915,7.795762691225462e-06
-16.25,250.0,169.0,-4.874329330759264,169.0,169.0,169.00079106741472,2.547991038573762e-05
-16.0,250.0,169.0,-4.874329330759264,169.0,169.0,169.00226748885163,7.303475236725275e-05
-15.75,250.0,169.0,-4.874329330759264,169.0,169.0,169.0058490824175,0.00018839620121251455
-15.5,250.0,169.0,-4.874329330759264,169.0,169.0,169.0136729972282,0.0004404008275335686
-15.25,250.0,169.0,-4.874329330759264,169.0,169.0,169.0290482467549,0.0009356304031763873
-15.0,250.0,169.0,-4.874329330759264,169.0,169.0,169.05619200587287,0.0018099181528481551
-14.75,250.0,169.0,-4.874329330759264,169.0,169.0,169.0991301259417,0.003192934860555391
-14.5,250.0,169.0,-4.874329330759264,169.0,169.0,169.1596909194219,0.005143569613097711
-14.25,250.0,169.0,-4.874329330759264,169.0,169.0,169.23512121455676,0.007573144039540582
-14.0,250.0,169.25,-4.892205047445142,169.25,169.25,169.31647300804215,0.010193447150432975
-13.75,250.0,169.5,-4.91008076413102,169.5,169.5,169.38898472113473,0.012529015418227029
-13.5,250.0,169.75,-4.927956480816897,169.75,169.75,169.43500353762192,0.014011259912598484
-13.25,250.0,170.0,-4.945832197502775,170.0,170.0,169.4386574935483,0.014128952119134532
-13.0,250.25,169.75,-4.934271237100968,169.75,169.75,169.39044792008144,0.01257614437000121
-12.75,250.5,169.5,-4.92271027669916,169.5,169.5,169.28985459519305,0.009336080557672552
-12.5,250.75,169.25,-4.911149316297353,169.25,169.25,169.14514570028788,0.0046750749270853
-12.25,251.0,169.0,-4.8995883558955455,169.0,169.0,168.97095175324512,-0.0009356304031754718
-12.0,251.25,168.75,-4.887592181277656,168.75,168.75,168.78498929661106,-0.006925393907466108
-11.75,251.5,168.5,-4.875596006659766,168.5,168.5,168.60516619644778,-0.012717411619438627
-11.5,251.75,168.25,-4.863599832041876,168.25,168.25,168.44759367164505,-0.017792748735465255
-11.25,252.0,168.0,-4.851603657423986,168.0,168.0,168.32543022448027,-0.02172757606905902
-11.0,252.0,168.0,-4.851603657423986,168.0,168.0,168.2483260328872,-0.024211065915296034
-10.75,252.0,168.0,-4.851603657423986,168.0,168.0,168.22221754581915,-0.02505200803782473
-10.5,252.0,168.0,-4.851603657423986,168.0,168.0,168.24948043266616,-0.024173883239875966
-10.25,252.0,168.0,-4.851603657423986,168.0,168.0,168.32938556155378,-0.021600176517133994
-10.0,251.75,168.25,-4.863599832041876,168.25,168.25,168.45904264426008,-0.017423982697565114
-9.75,251.5,168.5,-4.875596006659766,168.5,168.5,168.63503490216388,-0.011755354617950768
-9.5,251.25,168.75,-4.887592181277656,168.75,168.75,168.85577461066686,-0.00464543214289608
-9.25,251.0,169.0,-4.8995883558955455,169.0,169.0,169.12410366116666,0.003997320716555602
-9.0,250.25,169.25,-4.898146727193062,169.25,169.25,169.44898136921088,0.01446147931191212
-8.75,249.5,169.5,-4.896705098490578,169.5,169.5,169.84511797760803,0.02722085366433779
-8.5,248.75,169.75,-4.895263469788095,169.75,169.75,170.32998907971955,0.042838324439247365
-8.25,248.0,170.0,-4.893821841085611,170.0,170.0,170.91898524734574,0.06180961473552903
-8.0,247.25,171.0,-4.655188859915019,171.0,171.0,171.62041571528994,0.08440236110883194
-7.75,246.5,172.0,-4.416555878744427,172.0,172.0,172.43223829190038,0.11055078552392335
-7.5,245.75,173.0,-4.177922897573835,173.0,173.0,173.3412907586398,0.139830939095329
-7.25,245.0,174.0,-3.9392899164032436,174.0,174.0,174.32463915706558,0.17150412977856447
-7.0,245.25,175.25,-3.455965893341226,175.25,175.25,175.352097118578,0.20459806879965636
-6.75,245.5,176.5,-2.972641870279208,176.5,176.5,176.38910937986043,0.2379997473349881
-6.5,245.75,177.75,-2.48931784721719,177.75,177.75,177.39988579834045,0.2705563816793227
-6.25,246.0,179.0,-2.0059938241551722,179.0,179.0,178.35072168586885,0.30118235963623213
-6.0,246.0,179.75,-1.7681137881763314,179.75,179.75,179.21343882274525,0.3289700739658887
-5.75,246.0,180.5,-1.5302337521974907,180.5,180.5,179.96875624088364,0.35329849372979366
-5.5,246.0,181.25,-1.29235371621865,181.25,181.25,180.60947814928463,0.37393584587497297
-5.25,246.0,182.0,-1.0544736802398091,182.0,182.0,181.1430665832376,0.39112247905810243
-5.0,245.75,182.0,-1.1906359545322682,182.0,182.0,181.59253965698753,0.40559979594258744
-4.75,245.5,182.0,-1.326798228824727,182.0,182.0,181.99421324694538,0.4185375138740159
-4.5,245.25,182.0,-1.462960503117186,182.0,182.0,182.3917730425598,0.4313427284191781
-4.25,245.0,182.0,-1.599122777409645,182.0,182.0,182.8278851700075,0.4453896954900915
-4.0,245.25,182.75,-1.3685615990920024,182.75,182.75,183.3363999122454,0.46176871682365095
-3.75,245.5,183.5,-1.13800042077436,183.5,183.5,183.93814970368078,0.4811507953608622
-3.5,245.75,184.25,-0.9074392424567174,184.25,184.25,184.6415002333913,0.5038053860230721
-3.25,246.0,185.0,-0.6768780641390748,185.0,185.0,185.4463696159881,0.5297298513203124
-3.0,246.0,186.0,-0.30950101876010827,186.0,186.0,186.34894776623955,0.5588014701943567
-2.75,246.0,187.0,0.05787602661885827,187.0,187.0,187.34468167206802,0.5908735922617301
-2.5,246.0,188.0,0.4252530719978248,188.0,188.0,188.42825038330068,0.6257748322131059
-2.25,246.0,189.0,0.7926301173767913,189.0,189.0,189.59118182062133,0.6632323083474567
-2.0,245.75,190.5,1.1390376610540405,190.5,190.5,190.81867268374017,0.7027692133057929
-1.75,245.5,192.0,1.4854452047312894,192.0,192.0,192.08736963174385,0.7436333469309537
-1.5,245.25,193.5,1.8318527484085383,193.5,193.5,193.36507608376786,0.7847876724547885
-1.25,245.0,195.0,2.1782602920857874,195.0,195.0,194.6125179449364,0.8249671897024826
-1.0,245.0,196.25,2.534009299928197,196.25,196.25,195.7867042916109,0.8627871811881145
-0.75,245.0,197.5,2.889758307770607,197.5,197.5,196.84560649164334,0.8968939243833198
-0.5,245.0,198.75,3.2455073156130165,198.75,198.75,197.75403595453324,0.9261540112929466
-0.25,245.0,200.0,3.6012563234554262,200.0,200.0,198.48983293203295,0.949853686819754
0.0,245.0,200.0,3.6012563234554262,200.0,200.0,199.0484911965525,0.9678478074866709
0.25,245.0,200.0,3.6012563234554262,200.0,200.0,199.4441756533193,0.9805926182471602
0.5,245.0,200.0,3.6012563234554262,200.0,200.0,199.70585330424183,0.9890211326460028
0.75,245.0,200.0,3.6012563234554262,200.0,200.0,199.86956779951572,0.9942942997500737
1.0,245.5,200.0,3.5815470029168512,200.0,200.0,199.96902456900767,0.9974977556461733
1.25,246.0,200.0,3.561837682378277,200.0,200.0,200.0267596092316,0.9993573742117232
1.5,246.5,200.0,3.542128361839703,200.0,200.0,200.04671102637832,1.0
1.75,247.0,200.0,3.522419041301128,200.0,200.0,200.00884253224604,0.9987802735658502
2.0,247.5,200.25,3.7764495204841433,200.25,200.25,199.86709756845093,0.9942147347661148
2.25,248.0,200.5,4.030479999667158,200.5,200.5,199.55214035764556,0.9840701107337083
2.5,248.5,200.75,4.284510478850173,200.75,200.75,198.98024622352017,0.9656496689149442
