distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,255.0,176.0,-2.62983869768324,176.0,176.0,176.62497647186444,-0.02040613418135544
-17.75,254.25,176.5,-2.5006818940834923,176.5,176.5,176.94132781554623,-0.010077710246852667
-17.5,253.5,177.0,-2.371525090483745,177.0,177.0,177.3449933188823,0.0031013975061497724
-17.25,252.75,177.5,-2.2423682868839974,177.5,177.5,177.83713626212983,0.01916916853274411
-17.0,252.0,178.0,-2.1132114832842497,178.0,178.0,178.4165303018185,0.038085564453123805
-16.75,251.25,178.75,-1.9991108178799566,178.75,178.75,179.08089260141406,0.05977605388321195
-16.5,250.5,179.5,-1.8850101524756635,179.5,179.5,179.82669811927545,0.084125549199129
-16.25,249.75,180.25,-1.7709094870713704,180.25,180.25,180.6467117904965,0.11089783576472162
-16.0,249.0,181.0,-1.6568088216670773,181.0,181.0,181.52596572037922,0.13960423298818625
-15.75,248.5,182.25,-1.436436906049443,182.25,182.25,182.43766136600476,0.16936980634618207
-15.5,248.0,183.5,-1.2160649904318088,183.5,183.5,183.34088314517464,0.1988587199495525
-15.25,247.5,184.75,-0.9956930748141746,184.75,184.75,184.1809743928502,0.22628651098933517
-15.0,247.0,186.0,-0.7753211591965403,186.0,186.0,184.8924860586602,0.24951636053984644
-14.75,246.75,186.5,-0.5113953880115651,186.5,186.5,185.40395827739448,0.26621520507240526
-14.5,246.5,187.0,-0.24746961682658997,187.0,187.0,185.643797030318,0.2740456011354877
-14.25,246.25,187.5,0.01645615435838521,187.5,187.5,185.54746646998353,0.2709005445872737
-14.0,246.0,188.0,0.2803819255433604,188.0,188.0,185.06559050777463,0.2551679759703176
-13.75,245.75,186.25,-0.3168592743374582,186.25,186.25,184.17197951145238,0.2259928408337541
-13.5,245.5,184.5,-0.9141004742182768,184.5,184.5,182.8699899702515,0.18348472380379158
-13.25,245.25,182.75,-1.5113416740990953,182.75,182.75,181.19631796124207,0.12884169989506916
-13.0,245.0,181.0,-2.108582873979914,181.0,181.0,179.22170813364784,0.06437348184588883
-12.75,245.5,177.75,-3.3355444576508715,177.75,177.75,177.0476884152415,-0.006605187099659134
-12.5,246.0,174.5,-4.562506041321829,174.5,174.5,174.79745270718797,-0.08007220030985443
-12.25,246.5,171.25,-5.789467624992786,171.25,171.25,172.60021354626997,-0.1518089512126095
-12.0,247.0,168.0,-7.016429208663744,168.0,168.0,170.57159131770186,-0.21804059776026233
-11.75,247.5,167.0,-7.244207080831955,167.0,167.0,168.79632062640644,-0.2760006749478607
-11.5,248.0,166.0,-7.471984953000166,166.0,166.0,167.3199865466455,-0.3242008945747538
-11.25,248.5,165.0,-7.699762825168377,165.0,165.0,166.15205436844758,-0.3623322283088988
-11.0,249.0,164.0,-7.927540697336588,164.0,164.0,165.277057017381,-0.39089965425437895
