distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,252.0,161.0,-8.350934468284333,161.0,161.0,161.0,-0.08845883170504999
-17.75,252.0,161.0,-8.350934468284333,161.0,161.0,161.0000223056714,-0.08845826795258374
-17.5,252.0,161.0,-8.350934468284333,161.0,161.0,161.00012465872572,-0.08845568108641017
-17.25,252.0,161.0,-8.350934468284333,161.0,161.0,161.00048406558298,-0.08844659745478167
-17.0,252.0,161.0,-8.350934468284333,161.0,161.0,161.00158213482942,-0.08841884490544703
-16.75,252.0,161.0,-8.350934468284333,161.0,161.0,161.00455728337462,-0.0883436511441734
-16.5,252.0,161.0,-8.350934468284333,161.0,161.0,161.01182282356075,-0.08816002223086748
-16.25,252.0,161.0,-8.350934468284333,161.0,161.0,161.02783006003938,-0.08775545610580292
-16.0,252.0,161.0,-8.350934468284333,161.0,161.0,161.0596786283392,-0.08695051692200807
-15.75,251.75,161.0,-8.345449080302991,161.0,161.0,161.11696360079176,-0.08550269928274849
-15.5,251.5,161.0,-8.33996369232165,161.0,161.0,161.21020773416984,-0.08314605153932715
-15.25,251.25,161.0,-8.334478304340308,161.0,161.0,161.3476959644661,-0.0796711806178406
-15.0,251.0,161.0,-8.328992916358969,161.0,161.0,161.53150319228212,-0.07502564558025554
-14.75,250.75,161.5,-8.21677723060288,161.5,161.5,161.7544669002507,-0.06939047154610525
-14.5,250.5,162.0,-8.104561544846788,162.0,162.0,162.0,-0.06318487978932141
-14.25,250.25,162.5,-7.992345859090699,162.5,162.5,162.24553309974934,-0.05697928803253687
-14.0,250.0,163.0,-7.88013017333461,163.0,163.0,162.46849680771788,-0.05134411399838729
-13.75,250.0,163.0,-7.88013017333461,163.0,163.0,162.6523040355339,-0.04669857896080224
-13.5,250.0,163.0,-7.88013017333461,163.0,163.0,162.78979226583016,-0.04322370803931569
-13.25,250.0,163.0,-7.88013017333461,163.0,163.0,162.88303639920824,-0.04086706029589435
-13.0,250.0,163.0,-7.88013017333461,163.0,163.0,162.9403213716608,-0.03941924265663477
-12.75,250.0,163.0,-7.88013017333461,163.0,163.0,162.97218109279635,-0.03861402159660608
-12.5,250.0,163.0,-7.88013017333461,163.0,163.0,162.98823950580214,-0.03820816203845473
-12.25,250.0,163.0,-7.88013017333461,163.0,163.0,162.99568474941688,-0.038019991309334915
-12.0,250.0,163.0,-7.88013017333461,163.0,163.0,162.9992089325853,-0.03793092127339397
-11.75,250.0,163.0,-7.88013017333461,163.0,163.0,163.00181688177574,-0.037865008090956276
-11.5,250.0,163.0,-7.88013017333461,163.0,163.0,163.00591141178037,-0.03776152313650159
-11.25,250.0,163.0,-7.88013017333461,163.0,163.0,163.01437678993125,-0.03754756957616796
-11.0,250.0,163.0,-7.88013017333461,163.0,163.0,163.03142144899903,-0.03711678368246894
-10.75,250.0,163.0,-7.88013017333461,163.0,163.0,163.0630502366062,-0.03631739922533276
-10.5,250.0,163.0,-7.88013017333461,163.0,163.0,163.1169890200085,-0.034954153007229725
-10.25,250.0,163.0,-7.88013017333461,163.0,163.0,163.2019200750639,-0.03280760960560764
-10.0,250.0,163.0,-7.88013017333461,163.0,163.0,163.32622129189497,-0.029666026628352597
-9.75,250.25,163.25,-7.761187470274573,163.25,163.25,163.4964645397687,-0.02536330696761418
-9.5,250.5,163.5,-7.642244767214534,163.5,163.5,163.71605681658735,-0.01981334232223439
-9.25,250.75,163.75,-7.523302064154497,163.75,163.75,163.98413551156898,-0.013037934275637531
-9.0,251.0,164.0,-7.404359361094459,164.0,164.0,164.29479984289597,-0.0051862189037472205
-8.75,251.25,164.5,-7.160401985878446,164.5,164.5,164.63682207672622,0.0034580345881885764
-8.5,251.5,165.0,-6.916444610662431,165.0,165.0,164.99408858821965,0.012487571220773746
-8.25,251.75,165.5,-6.672487235446416,165.5,165.5,165.34698425156682,0.021406639247479244
