distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,252.0,168.25,-4.869851985511819,168.25,168.25,168.48332058828348,-0.05792501765944005
-17.75,252.0,168.5,-4.888100313599653,168.5,168.5,168.57095369567284,-0.05505174633504705
-17.5,252.0,168.75,-4.906348641687486,168.75,168.75,168.65891550037276,-0.052167697844524206
-17.25,252.0,169.0,-4.924596969775319,169.0,169.0,168.73375923560923,-0.04971375817866329
-17.0,252.0,169.0,-4.924596969775319,169.0,169.0,168.78186489445693,-0.048136493441330565
-16.75,252.0,169.0,-4.924596969775319,169.0,169.0,168.79206417571774,-0.04780208441203644
-16.5,252.0,169.0,-4.924596969775319,169.0,169.0,168.75743913397162,-0.048937353290646635
-16.25,252.0,169.0,-4.924596969775319,169.0,169.0,168.67606850262803,-0.05160529362338509
-16.0,252.0,168.75,-4.906348641687486,168.75,168.75,168.5509410597537,-0.05570791082156316
-15.75,252.0,168.5,-4.888100313599653,168.5,168.5,168.38928908328904,-0.0610080765048783
-15.5,252.0,168.25,-4.869851985511819,168.25,168.25,168.2016420683151,-0.06716055475533023
-15.25,252.0,168.0,-4.851603657423986,168.0,168.0,168.0008022202504,-0.07374559314357057
-15.0,251.75,167.75,-4.97107539744418,167.75,167.75,167.80094093552657,-0.08029854687716141
-14.75,251.5,167.5,-5.090547137464374,167.5,167.5,167.61692669064567,-0.08633191564436642
-14.5,251.25,167.25,-5.210018877484568,167.25,167.25,167.46377619051634,-0.09135333909318787
-14.25,251.0,167.0,-5.329490617504762,167.0,167.0,167.3560606060646,-0.0948850648212313
-14.0,250.75,167.0,-5.466938306342775,167.0,167.0,167.3070052547318,-0.09649346760976114
-13.75,250.5,167.0,-5.604385995180788,167.0,167.0,167.32713442481548,-0.09583348225823952
-13.5,250.25,167.0,-5.7418336840188005,167.0,167.0,167.422371436569,-0.09271089784871475
-13.25,250.0,167.0,-5.8792813728568145,167.0,167.0,167.59197288803603,-0.08715008867975003
-13.0,250.25,167.5,-5.634358118616497,167.5,167.5,167.82708345778633,-0.07944139868518263
-12.75,250.5,168.0,-5.38943486437618,168.0,168.0,168.11095294950243,-0.07013402508271604
-12.5,250.75,168.5,-5.144511610135863,168.5,168.5,168.42118681092242,-0.059962229463131074
-12.25,251.0,169.0,-4.8995883558955455,169.0,169.0,168.73345733644425,-0.049723656700345786
-12.0,251.25,169.25,-4.635975619287788,169.25,169.25,169.02523338791178,-0.04015704669641903
-11.75,251.5,169.5,-4.372362882680031,169.5,169.5,169.27809410099516,-0.03186637371206461
-11.5,251.75,169.75,-4.108750146072273,169.75,169.75,169.47822607467072,-0.025304544761948822
-11.25,252.0,170.0,-3.8451374094645163,170.0,170.0,169.61568221459524,-0.0207977002944569
-11.0,252.0,170.0,-3.8451374094645163,170.0,170.0,169.68364815145884,-0.018569266506778738
-10.75,252.0,170.0,-3.8451374094645163,170.0,170.0,169.67883931632775,-0.018726936233409496
-10.5,252.0,170.0,-3.8451374094645163,170.0,170.0,169.60342201457456,-0.021199681716777295
-10.25,252.0,170.0,-3.8451374094645163,170.0,170.0,169.4677057403032,-0.025649480322968425
-10.0,251.75,169.5,-4.23436201369759,169.5,169.5,169.29192790473695,-0.03141279774308798
-9.75,251.5,169.0,-4.623586617930664,169.0,169.0,169.10516619644778,-0.037536248992370506
-9.5,251.25,168.5,-5.012811222163738,168.5,168.5,168.94065506351916,-0.042930159294866335
-9.25,251.0,168.0,-5.402035826396812,168.0,168.0,168.82867623742217,-0.046601666098044114
-9.0,250.5,168.25,-5.407304999580851,168.25,168.25,168.79006087143625,-0.04786776776981647
-8.75,250.0,168.5,-5.41257417276489,168.5,168.5,168.83329515404728,-0.04645022332619636
-8.5,249.5,168.75,-5.417843345948928,168.75,168.75,168.95652223408024,-0.04240991429237157
-8.25,249.0,169.0,-5.4231125191329665,169.0,169.0,169.15315190792157,-0.03596291703067682
-8.0,248.25,169.25,-5.133711435999777,169.25,169.25,169.4180764432272,-0.027276701362896352
-7.75,247.5,169.5,-4.844310352866588,169.5,169.5,169.7517122753581,-0.016337613410754723
-7.5,246.75,169.75,-4.554909269733399,169.75,169.75,170.16044519523393,-0.0029362789950226073
-7.25,246.0,170.0,-4.265508186600209,170.0,170.0,170.65402471861938,0.013246964223202947
-7.0,246.0,170.75,-4.02992305124067,170.75,170.75,171.24143230040303,0.032506595779698735
-6.75,246.0,171.5,-3.7943379158811297,171.5,171.5,171.9267008562972,0.05497484493592874
